Date,Max Temp,Min Temp,Mean Temp
07/09/1960,17.91328312,10.9528049,14.43304401
08/09/1960,20.73427665,10.7136209,15.72394878
09/09/1960,20.71338653,10.8159565,15.76467152
10/09/1960,23.04250975,12.4424394,17.74247458
11/09/1960,23.86952323,10.7045609,17.28704207
12/09/1960,23.10865568,11.6234121,17.36603389
13/09/1960,20.99145379,10.5315832,15.7615185
14/09/1960,18.4155017,10.3954354,14.40546855
15/09/1960,17.7573086,9.02436745,13.39083803
16/09/1960,17.19278889,9.98004862,13.58641876
17/09/1960,16.9508783,10.3771048,13.66399155
18/09/1960,20.3306187,9.87136899,15.10099385
19/09/1960,17.67101728,10.4217669,14.04639209
20/09/1960,12.6877476,8.39410033,10.54092397
21/09/1960,16.7692943,7.38671823,12.07800627
22/09/1960,18.18213299,11.2342308,14.7081819
23/09/1960,17.43859617,12.5867058,15.01265099
24/09/1960,18.06383695,7.63659789,12.85021742
25/09/1960,17.87093653,6.56087463,12.21590558
26/09/1960,16.98176785,7.48862626,12.23519706
27/09/1960,15.91422522,7.51960244,11.71691383
28/09/1960,15.0728712,7.59492354,11.33389737
29/09/1960,14.60295645,9.96387623,12.28341634
30/09/1960,12.57835481,9.19375055,10.88605268
01/10/1960,16.01637451,9.83769841,12.92703646
02/10/1960,19.31061784,11.282971,15.29679442
03/10/1960,18.6744883,11.8866371,15.2805627
04/10/1960,16.96062984,12.4797654,14.72019762
05/10/1960,17.66056294,9.52464616,13.59260455
06/10/1960,17.86269131,10.3991981,14.13094471
07/10/1960,16.37485054,12.0579915,14.21642102
08/10/1960,14.0993218,10.1180824,12.1087021
09/10/1960,13.31668245,9.64962587,11.48315416
10/10/1960,10.9901045,8.8156842,9.90289435
11/10/1960,11.52200603,5.38481905,8.45341254
12/10/1960,11.57028855,2.73554051,7.15291453
13/10/1960,11.75842877,0.64298977,6.20070927
14/10/1960,11.17191403,2.2050653,6.688489665
15/10/1960,13.35174304,5.83589891,9.593820975
16/10/1960,13.20706316,6.1492819,9.67817253
17/10/1960,11.99817659,1.92157148,6.959874035
18/10/1960,14.45375251,3.83758215,9.14566733
19/10/1960,13.55830531,8.5884102,11.07335776
20/10/1960,12.15493788,10.4827849,11.31886139
21/10/1960,11.99744651,9.94750929,10.9724779
22/10/1960,12.65666171,8.79201853,10.72434012
23/10/1960,13.32572354,8.67263535,10.99917945
24/10/1960,14.90121875,10.040682,12.47095038
25/10/1960,15.75992078,10.8994813,13.32970104
26/10/1960,12.91766463,9.29648125,11.10707294
27/10/1960,14.36935803,10.4023539,12.38585597
28/10/1960,15.63930092,7.85732595,11.74831344
29/10/1960,11.32358256,6.51914882,8.92136569
30/10/1960,12.83083261,8.50435977,10.66759619
31/10/1960,15.36485818,7.26997044,11.31741431
01/11/1960,16.70995646,7.71961475,12.21478561
02/11/1960,12.81898333,8.87215251,10.84556792
03/11/1960,12.65387742,7.55625401,10.10506572
04/11/1960,11.88958702,6.12953744,9.00956223
05/11/1960,12.09495938,5.35556266,8.72526102
06/11/1960,9.639984385,3.4729753,6.556479843
07/11/1960,8.306315636,0.30731246,4.306814048
08/11/1960,7.010813771,0.74191575,3.876364761
09/11/1960,8.976103965,1.99864726,5.487375613
10/11/1960,12.35267791,4.24955234,8.301115125
11/11/1960,12.21602398,6.63596425,9.425994115
12/11/1960,10.33031571,5.5901698,7.960242755
13/11/1960,11.96336899,5.30866689,8.63601794
14/11/1960,12.48590914,6.48865517,9.487282155
15/11/1960,11.31102022,5.71418643,8.512603325
16/11/1960,11.33101286,2.5877721,6.95939248
17/11/1960,8.478474679,4.48652246,6.48249857
18/11/1960,8.907364287,1.51117199,5.209268139
19/11/1960,10.82729542,1.22693402,6.02711472
20/11/1960,11.83326033,3.58088133,7.70707083
21/11/1960,11.49265591,7.81514699,9.65390145
22/11/1960,11.49965222,8.13457894,9.81711558
23/11/1960,11.65353102,6.96382495,9.308677985
24/11/1960,12.29586727,7.38923399,9.84255063
25/11/1960,13.2759738,7.56405164,10.42001272
26/11/1960,12.87351791,8.60410614,10.73881203
27/11/1960,10.66065394,9.22484012,9.94274703
28/11/1960,7.602252256,-0.1201094,3.741071428
29/11/1960,11.50544261,1.17343936,6.339440985
30/11/1960,11.95215118,6.76395145,9.358051315
01/12/1960,12.08594741,9.59737079,10.8416591
02/12/1960,10.90480094,4.72931286,7.8170569
03/12/1960,12.75234097,4.6475951,8.699968035
04/12/1960,11.63687347,9.49023536,10.56355442
05/12/1960,8.343505811,3.58550839,5.964507101
06/12/1960,5.998873833,0.88724743,3.443060632
07/12/1960,5.664461028,1.54276922,3.603615124
08/12/1960,3.590794046,1.02249945,2.306646748
09/12/1960,3.992997035,1.2395712,2.616284118
10/12/1960,4.752629041,1.55753547,3.155082256
11/12/1960,3.901710031,0.98834382,2.445026926
12/12/1960,4.068270979,0.00295219,2.035611585
13/12/1960,3.007871457,-0.5850647,1.211403379
14/12/1960,3.983904792,-0.1012208,1.941341996
15/12/1960,5.020662103,1.92257346,3.471617782
16/12/1960,5.615461855,3.15120234,4.383332098
17/12/1960,6.874341771,0.1982229,3.536282336
18/12/1960,7.02456013,3.26505,5.144805065
19/12/1960,4.960510026,3.66432994,4.312419983
20/12/1960,6.399857012,2.54475607,4.472306541
21/12/1960,6.146144248,1.64832448,3.897234364
22/12/1960,7.312955422,1.0793028,4.196129111
23/12/1960,8.733235625,2.20160627,5.467420948
24/12/1960,7.911404689,6.21566964,7.063537165
25/12/1960,9.976960237,2.40733167,6.192145954
26/12/1960,8.874646376,5.07304324,6.973844808
27/12/1960,6.296681414,0.45592431,3.376302862
28/12/1960,6.400216865,0.34864524,3.374431053
29/12/1960,7.086898721,-0.5048335,3.291032611
30/12/1960,9.292155908,0.34509569,4.818625799
31/12/1960,8.224200222,2.45945891,5.341829566
01/01/1961,8.025531401,1.26695972,4.646245561
02/01/1961,6.893806001,2.93381849,4.913812246
03/01/1961,5.741426153,1.11500939,3.428217772
04/01/1961,5.396943281,2.23694293,3.816943106
05/01/1961,6.980750227,-0.487657,3.246546614
